L,d,r,p,num_samples,avg_mi,sem_mi
48,2,3,0.01,4000,0.5103489583333333,0.000760653681536178
48,2,3,0.015,4000,0.44888541666666665,0.0007791107035576787
48,2,3,0.0175,4000,0.419515625,0.0008249327454328345
48,2,3,0.02,13000,0.39243910256410264,0.00046212048564035134
48,2,3,0.021,13000,0.3816266025641025,0.0004632440980687239
48,2,3,0.022,13000,0.37196153846153845,0.0004631823398164432
48,2,3,0.023,13000,0.3621394230769231,0.00046509597828913937
48,2,3,0.024,13000,0.3521907051282051,0.00045860880824610627
48,2,3,0.025,13000,0.34344711538461536,0.000464709659783092
48,2,3,0.0275,4000,0.3210625,0.0008323024250817581
48,2,3,0.03,4000,0.29884375,0.0008235020478967238
48,2,3,0.035,4000,0.2609114583333333,0.0008052851438280383
48,4,3,0.01,4000,0.5310781250000001,0.0007222239206741847
48,4,3,0.015,4000,0.4666979166666666,0.0008102138110076845
48,4,3,0.0175,4000,0.4315104166666667,0.0008002765994426559
48,4,3,0.02,13000,0.40003044871794863,0.0004654886330725507
48,4,3,0.021,13000,0.3863541666666666,0.00046151635535254625
48,4,3,0.022,13000,0.3722403846153846,0.00046714795149980603
48,4,3,0.023,13000,0.35891826923076925,0.00046015945987451154
48,4,3,0.024,13000,0.34593589743589737,0.00046668859248655796
48,4,3,0.025,13000,0.3313958333333334,0.0004643704897360946
48,4,3,0.0275,4000,0.296625,0.0008287922239780724
48,4,3,0.03,4000,0.2631666666666666,0.0008140078590282474
48,4,3,0.035,4000,0.196609375,0.0007641111496395561
48,6,3,0.01,4000,0.5536614583333335,0.0006979465388174012
48,6,3,0.015,4000,0.49073437500000006,0.0007890500829590237
48,6,3,0.0175,4000,0.4521302083333334,0.0008243763904462615
48,6,3,0.02,13000,0.4072259615384615,0.0004738665702716863
48,6,3,0.021,13000,0.38684134615384613,0.0004808443619655032
48,6,3,0.022,13000,0.36678525641025644,0.0004769818587537497
48,6,3,0.023,13000,0.345838141025641,0.00047740873058839037
48,6,3,0.024,13000,0.3237067307692308,0.00047132812755939336
48,6,3,0.025,13000,0.30075480769230767,0.00046754154074457523
48,6,3,0.0275,4000,0.24571354166666667,0.0008363894932414536
48,6,3,0.03,4000,0.19589583333333332,0.0007868905841254851
48,6,3,0.035,4000,0.11667708333333335,0.0006852853966112464
