L,d,p,levels,num_samples,avg_entropy_1,avg_entropy_2,avg_entropy_3,avg_entropy_4,avg_entropy_5,avg_entropy_6,sem_entropy_1,sem_entropy_2,sem_entropy_3,sem_entropy_4,sem_entropy_5,sem_entropy_6
48,6,0.005,6,1000,0.06096809895833334,0.021175781249999987,0.024664062499999966,0.01743229166666667,0.020239583333333318,0.01820833333333336,0.00021009714310075219,0.00019147279720815475,0.00028137028584220773,0.00035245999005149696,0.0005277312829567181,0.0007357946890131341
48,6,0.0075,6,1000,0.09062434895833334,0.03556510416666666,0.04310416666666667,0.028604166666666615,0.03207291666666664,0.028166666666666635,0.00025415524518199975,0.00024693568643174477,0.00036660885718026566,0.00043611004429586306,0.0006593744192229156,0.0008892485508604603
48,6,0.01,6,1000,0.12073437500000002,0.05321354166666669,0.06523958333333336,0.04135937500000002,0.0468645833333334,0.03895833333333331,0.00029048476708025845,0.00029748023233237033,0.0004450559150083914,0.0005334602824912011,0.0008052216231399638,0.0010403311425254613
48,6,0.0125,6,1000,0.14915820312499997,0.07202473958333334,0.09037239583333331,0.056906250000000026,0.06454166666666668,0.05160416666666671,0.00032281665718981317,0.0003480562502115612,0.0005240058648110224,0.0006060722519636143,0.0009167059847253181,0.0011976495672832658
48,6,0.015,6,1000,0.17948828125,0.09532682291666669,0.12235156249999994,0.07649479166666666,0.09032291666666667,0.06968750000000007,0.00034988180887064247,0.0003954092996506691,0.0006024941191852248,0.0007139541353913429,0.0010773688025377088,0.0013264845308242654
48,6,0.0175,6,1000,0.20797070312500002,0.11843359375000002,0.15416927083333332,0.09898958333333331,0.11757291666666665,0.09037499999999986,0.0003744342302436592,0.00044206585097355405,0.0006705640064941614,0.0007712990150636424,0.0011849976441182998,0.0014770793345595238
48,6,0.02,6,1000,0.23528776041666663,0.14336197916666663,0.18912239583333335,0.12585937500000005,0.15433333333333327,0.11797916666666658,0.0003935830899346922,0.00048230092043747837,0.0007288981865267868,0.0008724418295109881,0.0013457033891551182,0.0016791106957853975
48,6,0.0225,6,1000,0.263486328125,0.17120442708333336,0.22654947916666662,0.15880208333333337,0.19846874999999994,0.1546666666666664,0.00041186697892082563,0.0005195392024450965,0.0007865020883402138,0.0009822489540449583,0.0015100611309831744,0.0018540664935655798
48,6,0.025,6,1000,0.28984700520833323,0.19866536458333325,0.2651484375000001,0.19299479166666658,0.24656250000000007,0.19597916666666668,0.0004259963449569512,0.0005564098552074157,0.0008353985533756578,0.0010621315299492176,0.0016080670161115226,0.002087016160077505
48,6,0.0275,6,1000,0.3163743489583333,0.22845963541666658,0.30586197916666663,0.23349999999999993,0.3012083333333332,0.24566666666666662,0.00043934486090942127,0.0005864223242184207,0.0008693890834381424,0.0011448744064629398,0.0017560251357587357,0.002233565580880264
48,6,0.03,6,1000,0.34134309895833326,0.2570299479166665,0.34458333333333346,0.2742604166666667,0.35369791666666683,0.29783333333333334,0.0004521079863134584,0.0006168429306818658,0.000906573026696895,0.001222678146814218,0.0018696711180898132,0.0024299194791889715
48,6,0.0325,6,1000,0.3669557291666666,0.28941276041666664,0.3878619791666668,0.322390625,0.41735416666666686,0.3617083333333332,0.0004620014683420126,0.0006437389962947322,0.0009299454183865579,0.001266987904404176,0.0018557955113129656,0.0025826884548188636
48,6,0.035,6,1000,0.39338541666666665,0.32146614583333327,0.4281588541666666,0.3694583333333333,0.4754895833333327,0.4295000000000004,0.0004656237003866495,0.0006656063162595454,0.0009613210355210115,0.0013562476796694699,0.0019469461313609297,0.0026959081398438343
